w1,w2,w3,w4,count,p1,p2,p3,p4,joint.prob.nonnorm,joint.prob,expected,disparity,score
also,informing,single,people,9,0.001331759,2.96E-05,0.000453785,0.00152248,2.72E-14,5.85E-10,0.00017777,50627.22585,-0.444672453
seeking,a,mate,mr,9,8.88E-05,0.021117428,4.93E-05,0.000305811,2.83E-14,6.07E-10,0.000184633,48745.38082,-0.444733015
your,intellectual,property,has,9,0.004748297,2.96E-05,6.58E-05,0.003653295,3.38E-14,7.25E-10,0.000220422,40830.80886,-0.444987723
file,a,complaint,please,9,7.23E-05,0.021117428,3.95E-05,0.000634641,3.83E-14,8.21E-10,0.000249765,36033.8116,-0.445142101
found,though,ramsey,said,9,0.000414325,0.000420902,0.00013482,0.001703337,4.00E-14,8.60E-10,0.000261454,34422.91222,-0.445193943
to,complete,account,merge,9,0.02759208,0.000108514,0.000420902,3.29E-05,4.14E-14,8.90E-10,0.000270544,33266.27015,-0.445231167
been,found,though,ramsey,9,0.00187104,0.000414325,0.000420902,0.00013482,4.40E-14,9.44E-10,0.000287195,31337.55454,-0.445293237
apparently,gave,prosecutors,a,9,0.000223604,0.000253199,3.95E-05,0.021117428,4.72E-14,1.01E-09,0.000308001,29220.69596,-0.445361362
a,mate,mr,legette,9,0.021117428,4.93E-05,0.000305811,0.000180856,5.76E-14,1.24E-09,0.000376104,23929.55059,-0.445531643
complaint,please,see,our,9,3.95E-05,0.000634641,0.00152248,0.001535634,5.85E-14,1.26E-09,0.000382241,23545.35886,-0.445544007
damaging,affects,the,drama,9,3.62E-05,4.27E-05,0.032968442,0.001381084,7.04E-14,1.51E-09,0.000459636,19580.7225,-0.445671598
has,on,individuals,financially,9,0.003653295,0.007816276,4.27E-05,5.92E-05,7.23E-14,1.55E-09,0.000471693,19080.18769,-0.445687706
more,harm,to,minors,9,0.00241032,4.27E-05,0.02759208,2.96E-05,8.41E-14,1.81E-09,0.000549293,16384.68827,-0.445774453
it,grinsell,apparently,gave,9,0.007714339,0.000207163,0.000223604,0.000253199,9.05E-14,1.94E-09,0.000590703,15236.09057,-0.445811418
investigators,were,working,on,9,4.93E-05,0.001433696,0.000184145,0.007816276,1.02E-13,2.19E-09,0.000664501,13543.99496,-0.445865873
yet,been,found,though,9,0.000341983,0.00187104,0.000414325,0.000420902,1.12E-13,2.40E-09,0.000728496,12354.22823,-0.445904162
or,phishing,show,more,9,0.003367214,2.96E-05,0.000552434,0.00241032,1.33E-13,2.85E-09,0.000866276,10389.29357,-0.445967398
phishing,show,more,if,9,2.96E-05,0.000552434,0.00241032,0.003620412,1.43E-13,3.06E-09,0.000931416,9662.703555,-0.445990781
new,password,your,existing,9,0.001854598,0.000190721,0.004748297,8.55E-05,1.44E-13,3.08E-09,0.000937451,9600.505525,-0.445992783
february,27,2016,at,9,0.000397884,0.000108514,0.000943741,0.003774962,1.54E-13,3.30E-09,0.001004208,8962.28284,-0.446013323
other,members,show,more,9,0.001364642,9.54E-05,0.000552434,0.00241032,1.73E-13,3.72E-09,0.001131254,7955.773122,-0.446045714
young,dolph,live,in,9,0.000506397,3.95E-05,0.000723425,0.012064753,1.74E-13,3.74E-09,0.001138605,7904.408585,-0.446047367
is,also,informing,single,9,0.011732635,0.001331759,2.96E-05,0.000453785,2.10E-13,4.50E-09,0.001369942,6569.620394,-0.446090324
february,19,2016,at,9,0.000397884,0.000180856,0.000943741,0.003774962,2.56E-13,5.50E-09,0.001673681,5377.369704,-0.446128693
your,existing,password,has,9,0.004748297,8.55E-05,0.000190721,0.003653295,2.83E-13,6.07E-09,0.001846645,4873.703975,-0.446144902
not,be,published,required,9,0.005146181,0.005813705,0.00011509,8.22E-05,2.83E-13,6.08E-09,0.001848015,4870.091098,-0.446145018
gave,prosecutors,a,first,9,0.000253199,3.95E-05,0.021117428,0.001348201,2.84E-13,6.11E-09,0.001857064,4846.35933,-0.446145782
to,minors,violence,or,9,0.02759208,2.96E-05,0.000108514,0.003367214,2.98E-13,6.41E-09,0.001947919,4620.315299,-0.446153057
existing,password,has,not,9,8.55E-05,0.000190721,0.003653295,0.005146181,3.07E-13,6.58E-09,0.002001384,4496.887246,-0.446157029
mistakes,parents,within,the,9,0.00011509,0.000434055,0.000190721,0.032968442,3.14E-13,6.74E-09,0.002050683,4388.782629,-0.446160508
providing,for,single,people,9,5.26E-05,0.008924432,0.000453785,0.00152248,3.24E-13,6.96E-09,0.002117828,4249.637026,-0.446164986
informing,single,people,of,9,2.96E-05,0.000453785,0.00152248,0.01604359,3.28E-13,7.04E-09,0.002141579,4202.505937,-0.446166503
term,relationship,when,asked,9,0.000276217,0.001124597,0.002801627,0.000407749,3.55E-13,7.62E-09,0.002316687,3884.857281,-0.446176725
on,the,damaging,affects,9,0.007816276,0.032968442,3.62E-05,4.27E-05,3.98E-13,8.55E-09,0.002601319,3459.782688,-0.446190405
they,too,maybe,making,9,0.003465863,0.000861533,0.000341983,0.000411037,4.20E-13,9.01E-09,0.002740224,3284.403348,-0.446196049
please,see,our,copyright,9,0.000634641,0.00152248,0.001535634,0.000299235,4.44E-13,9.53E-09,0.00289866,3104.882487,-0.446201827
are,seeking,a,mate,9,0.004843658,8.88E-05,0.021117428,4.93E-05,4.48E-13,9.62E-09,0.002924347,3077.610602,-0.446202704
an,up,close,view,9,0.002508969,0.003225817,0.000240046,0.000259775,5.05E-13,1.08E-08,0.003294915,2731.481377,-0.446213843
long,term,relationship,when,9,0.000591893,0.000276217,0.001124597,0.002801627,5.15E-13,1.11E-08,0.003362933,2676.235016,-0.446215621
there,were,doubts,as,9,0.00173622,0.001433696,4.60E-05,0.004524693,5.19E-13,1.11E-08,0.00338507,2658.733816,-0.446216185
almost,done,create,a,9,0.000302523,0.000371577,0.000220316,0.021117428,5.23E-13,1.12E-08,0.003414382,2635.908714,-0.446216919
your,existing,account,from,9,0.004748297,8.55E-05,0.000420902,0.003271853,5.59E-13,1.20E-08,0.003649844,2465.858486,-0.446222392
but,there,were,doubts,9,0.004971902,0.00173622,0.001433696,4.60E-05,5.70E-13,1.22E-08,0.003719641,2419.588446,-0.446223881
prosecutors,a,first,name,9,3.95E-05,0.021117428,0.001348201,0.000565587,6.35E-13,1.36E-08,0.004148247,2169.591096,-0.446231926
legally,and,emotionally,he,9,6.58E-05,0.022837206,5.59E-05,0.007599249,6.38E-13,1.37E-08,0.004165354,2160.680876,-0.446232213
made,they,too,maybe,9,0.000631353,0.003465863,0.000861533,0.000341983,6.45E-13,1.38E-08,0.004208984,2138.28343,-0.446232934
you,believe,your,intellectual,9,0.010821778,0.00046365,0.004748297,2.96E-05,7.05E-13,1.51E-08,0.004603175,1955.172333,-0.446238827
reserved,terms,of,use,9,0.000355136,0.000223604,0.01604359,0.000575452,7.33E-13,1.57E-08,0.004786326,1880.356543,-0.446241235
a,complaint,please,see,9,0.021117428,3.95E-05,0.000634641,0.00152248,8.05E-13,1.73E-08,0.005256427,1712.189752,-0.446246647
statement,it,is,believed,9,0.000164415,0.007714339,0.011732635,5.59E-05,8.32E-13,1.79E-08,0.005430909,1657.181061,-0.446248417
veracity,of,that,statement,9,2.96E-05,0.01604359,0.011456419,0.000164415,8.94E-13,1.92E-08,0.005838782,1541.417419,-0.446252142
making,the,same,mistakes,9,0.000411037,0.032968442,0.000644506,0.00011509,1.01E-12,2.16E-08,0.006562398,1371.449788,-0.446257612
existing,account,from,with,9,8.55E-05,0.000420902,0.003271853,0.008704116,1.02E-12,2.20E-08,0.006690539,1345.183095,-0.446258458
the,same,mistakes,parents,9,0.032968442,0.000644506,0.00011509,0.000434055,1.06E-12,2.28E-08,0.006929893,1298.72139,-0.446259953
same,mistakes,as,they,9,0.000644506,0.00011509,0.004524693,0.003465863,1.16E-12,2.50E-08,0.007594233,1185.109775,-0.446263609
insight,on,defining,the,9,9.86E-05,0.007816276,4.60E-05,0.032968442,1.17E-12,2.51E-08,0.007640239,1177.973629,-0.446263839
book,he,is,providing,9,0.000263064,0.007599249,0.011732635,5.26E-05,1.23E-12,2.65E-08,0.008056298,1117.138399,-0.446265797
not,yet,been,found,9,0.005146181,0.000341983,0.00187104,0.000414325,1.36E-12,2.93E-08,0.008906996,1010.44167,-0.44626923
show,more,harm,to,9,0.000552434,0.00241032,4.27E-05,0.02759208,1.57E-12,3.37E-08,0.010253476,877.7511576,-0.446273501
up,close,view,on,9,0.003225817,0.000240046,0.000259775,0.007816276,1.57E-12,3.38E-08,0.010264763,876.7859869,-0.446273532
to,file,a,complaint,9,0.02759208,7.23E-05,0.021117428,3.95E-05,1.66E-12,3.57E-08,0.010858972,828.8077272,-0.446275076
the,damaging,affects,the,9,0.032968442,3.62E-05,4.27E-05,0.032968442,1.68E-12,3.61E-08,0.010972162,820.2576749,-0.446275351
drama,has,on,individuals,9,0.001381084,0.003653295,0.007816276,4.27E-05,1.69E-12,3.62E-08,0.011006181,817.7223297,-0.446275432
back,please,confirm,the,9,0.001282435,0.000634641,6.58E-05,0.032968442,1.76E-12,3.79E-08,0.01152074,781.1998094,-0.446276608
working,on,it,grinsell,9,0.000184145,0.007816276,0.007714339,0.000207163,2.30E-12,4.94E-08,0.015017116,599.3161414,-0.446282461
view,on,the,damaging,9,0.000259775,0.007816276,0.032968442,3.62E-05,2.42E-12,5.20E-08,0.015808018,569.3313283,-0.446283426
is,providing,for,single,9,0.011732635,5.26E-05,0.008924432,0.000453785,2.50E-12,5.37E-08,0.01632054,551.4523383,-0.446284002
within,this,book,he,9,0.000190721,0.006764022,0.000263064,0.007599249,2.58E-12,5.54E-08,0.016836545,534.5514635,-0.446284546
on,it,grinsell,apparently,9,0.007816276,0.007714339,0.000207163,0.000223604,2.79E-12,6.00E-08,0.018235069,493.5544693,-0.446285865
been,infringed,and,would,9,0.00187104,2.96E-05,0.022837206,0.002259058,2.86E-12,6.13E-08,0.018650245,482.5673978,-0.446286218
people,an,up,close,9,0.00152248,0.002508969,0.003225817,0.000240046,2.96E-12,6.35E-08,0.019310707,466.0626972,-0.44628675
maybe,making,the,same,9,0.000341983,0.000411037,0.032968442,0.000644506,2.99E-12,6.41E-08,0.019499698,461.5456017,-0.446286895
done,create,a,new,9,0.000371577,0.000220316,0.021117428,0.001854598,3.21E-12,6.88E-08,0.020931648,429.970925,-0.446287911
he,is,also,informing,9,0.007599249,0.011732635,0.001331759,2.96E-05,3.51E-12,7.54E-08,0.022941568,392.3010015,-0.446289123
has,not,been,changed,9,0.003653295,0.005146181,0.00187104,0.000101937,3.59E-12,7.70E-08,0.023410093,384.4495701,-0.446289376
parents,within,the,drama,9,0.000434055,0.000190721,0.032968442,0.001381084,3.77E-12,8.09E-08,0.024608191,365.7318857,-0.446289979
too,maybe,making,the,9,0.000861533,0.000341983,0.000411037,0.032968442,3.99E-12,8.57E-08,0.026065923,345.2783891,-0.446290637
has,been,infringed,and,9,0.003653295,0.00187104,2.96E-05,0.022837206,4.62E-12,9.92E-08,0.03016073,298.4012622,-0.446292145
infringed,and,would,like,9,2.96E-05,0.022837206,0.002259058,0.00312388,4.77E-12,1.02E-07,0.03113837,289.032473,-0.446292447
single,people,an,up,9,0.000453785,0.00152248,0.002508969,0.003225817,5.59E-12,1.20E-07,0.036505171,246.5404123,-0.446293814
notify,me,of,new,9,4.93E-05,0.004120233,0.01604359,0.001854598,6.05E-12,1.30E-07,0.039477807,227.9761885,-0.446294412
send,you,a,link,9,0.000180856,0.010821778,0.021117428,0.00015455,6.39E-12,1.37E-07,0.041702251,215.8156873,-0.446294803
emotionally,he,is,also,9,5.59E-05,0.007599249,0.011732635,0.001331759,6.64E-12,1.42E-07,0.043334072,207.6887655,-0.446295065
password,has,not,been,9,0.000190721,0.003653295,0.005146181,0.00187104,6.71E-12,1.44E-07,0.043799528,205.4816668,-0.446295136
as,they,are,seeking,9,0.004524693,0.003465863,0.004843658,8.88E-05,6.74E-12,1.45E-07,0.044027733,204.4166115,-0.44629517
affects,the,drama,has,9,4.27E-05,0.032968442,0.001381084,0.003653295,7.11E-12,1.53E-07,0.04642321,193.8685396,-0.446295509
were,doubts,as,to,9,0.001433696,4.60E-05,0.004524693,0.02759208,8.24E-12,1.77E-07,0.053795686,167.2996609,-0.446296364
mistakes,as,they,are,9,0.00011509,0.004524693,0.003465863,0.004843658,8.74E-12,1.88E-07,0.057072987,157.6928146,-0.446296674
have,made,they,too,9,0.005576948,0.000631353,0.003465863,0.000861533,1.05E-11,2.26E-07,0.06863881,131.1211537,-0.446297529
father,but,there,were,9,0.000858245,0.004971902,0.00173622,0.001433696,1.06E-11,2.28E-07,0.069344733,129.7863534,-0.446297572
the,same,mistakes,as,9,0.032968442,0.000644506,0.00011509,0.004524693,1.11E-11,2.38E-07,0.072238882,124.586645,-0.446297739
has,not,yet,been,9,0.003653295,0.005146181,0.000341983,0.00187104,1.20E-11,2.58E-07,0.078537085,114.5955449,-0.446298061
would,like,to,file,9,0.002259058,0.00312388,0.02759208,7.23E-05,1.41E-11,3.02E-07,0.091963928,97.86445827,-0.446298599
product,of,a,long,9,7.56E-05,0.01604359,0.021117428,0.000591893,1.52E-11,3.26E-07,0.099015282,90.8950599,-0.446298823
in,to,complete,account,9,0.012064753,0.02759208,0.000108514,0.000420902,1.52E-11,3.26E-07,0.099262706,90.66849319,-0.446298831
for,single,people,an,9,0.008924432,0.000453785,0.00152248,0.002508969,1.55E-11,3.32E-07,0.10099392,89.11427577,-0.446298881
were,working,on,it,9,0.001433696,0.000184145,0.007816276,0.007714339,1.59E-11,3.42E-07,0.103927977,86.59843327,-0.446298962
close,view,on,the,9,0.000240046,0.000259775,0.007816276,0.032968442,1.61E-11,3.45E-07,0.104907757,85.78965222,-0.446298988
on,defining,the,drama,9,0.007816276,4.60E-05,0.032968442,0.001381084,1.64E-11,3.52E-07,0.106963345,84.14097353,-0.446299041
drama,have,made,they,9,0.001381084,0.005576948,0.000631353,0.003465863,1.69E-11,3.62E-07,0.110031681,81.79462445,-0.446299116
child,has,not,yet,9,0.003038384,0.003653295,0.005146181,0.000341983,1.95E-11,4.19E-07,0.127536496,70.56803579,-0.446299478
this,share,this,share,9,0.006764022,0.000654371,0.006764022,0.000654371,1.96E-11,4.21E-07,0.127901461,70.36667086,-0.446299484
a,link,to,create,9,0.021117428,0.00015455,0.02759208,0.000220316,1.98E-11,4.26E-07,0.129526148,69.48403937,-0.446299512
link,to,create,a,9,0.00015455,0.02759208,0.000220316,0.021117428,1.98E-11,4.26E-07,0.129526148,69.48403937,-0.446299512
sign,in,to,complete,9,0.000805632,0.012064753,0.02759208,0.000108514,2.91E-11,6.25E-07,0.189995024,47.36966175,-0.446300224
man,who,may,be,9,0.001706625,0.002857528,0.001035813,0.005813705,2.94E-11,6.30E-07,0.19172587,46.94202192,-0.446300238
him,because,he,wants,9,0.003446133,0.001917076,0.007599249,0.000611623,3.07E-11,6.59E-07,0.200467279,44.89510727,-0.446300304
they,are,seeking,a,9,0.003465863,0.004843658,8.88E-05,0.021117428,3.15E-11,6.76E-07,0.205484085,43.79901236,-0.446300339
relationship,when,asked,to,9,0.001124597,0.002801627,0.000407749,0.02759208,3.54E-11,7.61E-07,0.231420526,38.89024092,-0.446300497
a,new,password,your,9,0.021117428,0.001854598,0.000190721,0.004748297,3.55E-11,7.61E-07,0.231550307,38.86844342,-0.446300498
it,read,it,read,9,0.007714339,0.000779326,0.007714339,0.000779326,3.61E-11,7.76E-07,0.235968198,38.14073281,-0.446300521
to,pay,child,support,9,0.02759208,0.000430767,0.003038384,0.001012795,3.66E-11,7.85E-07,0.238785787,37.69068549,-0.446300536
of,the,same,mistakes,9,0.01604359,0.032968442,0.000644506,0.00011509,3.92E-11,8.42E-07,0.256143537,35.13654919,-0.446300618
he,is,providing,for,9,0.007599249,0.011732635,5.26E-05,0.008924432,4.19E-11,8.99E-07,0.273309914,32.92965066,-0.446300689
more,if,you,believe,9,0.00241032,0.003620412,0.010821778,0.00046365,4.38E-11,9.40E-07,0.285850567,31.4849822,-0.446300735
within,the,drama,have,9,0.000190721,0.032968442,0.001381084,0.005576948,4.84E-11,1.04E-06,0.316177966,28.46498167,-0.446300832
show,more,if,you,9,0.000552434,0.00241032,0.003620412,0.010821778,5.22E-11,1.12E-06,0.340587909,26.42489577,-0.446300898
well,send,you,a,9,0.001321894,0.000180856,0.010821778,0.021117428,5.46E-11,1.17E-06,0.35668734,25.23218235,-0.446300937
of,a,long,term,9,0.01604359,0.021117428,0.000591893,0.000276217,5.54E-11,1.19E-06,0.36162103,24.88793307,-0.446300948
it,is,believed,that,9,0.007714339,0.011732635,5.59E-05,0.011456419,5.80E-11,1.24E-06,0.378425758,23.78273624,-0.446300983
believed,that,the,child,9,5.59E-05,0.011456419,0.032968442,0.003038384,6.42E-11,1.38E-06,0.418820092,21.4889404,-0.446301057
how,to,avoid,baby,9,0.002298518,0.02759208,0.000180856,0.006152399,7.06E-11,1.51E-06,0.460710534,19.53504279,-0.44630112
was,not,the,product,9,0.005981408,0.005146181,0.032968442,7.56E-05,7.68E-11,1.65E-06,0.501075705,17.96135776,-0.446301171
if,you,believe,your,9,0.003620412,0.010821778,0.00046365,0.004748297,8.63E-11,1.85E-06,0.563121716,15.98233515,-0.446301234
moments,of,2015,the,9,0.000299235,0.01604359,0.000644506,0.032968442,1.02E-10,2.19E-06,0.665973197,13.51405738,-0.446301314
a,man,who,may,9,0.021117428,0.001706625,0.002857528,0.001035813,1.07E-10,2.29E-06,0.696416028,12.92330968,-0.446301333
i,could,go,on,9,0.014264622,0.000864821,0.001177209,0.007816276,1.14E-10,2.44E-06,0.741068363,12.14462855,-0.446301358
and,emotionally,he,is,9,0.022837206,5.59E-05,0.007599249,0.011732635,1.14E-10,2.44E-06,0.743099093,12.11143989,-0.446301359
as,to,the,veracity,9,0.004524693,0.02759208,0.032968442,2.96E-05,1.22E-10,2.62E-06,0.795249003,11.31721003,-0.446301384
like,to,file,a,9,0.00312388,0.02759208,7.23E-05,0.021117428,1.32E-10,2.83E-06,0.859668626,10.46915024,-0.446301412
this,book,he,is,9,0.006764022,0.000263064,0.007599249,0.011732635,1.59E-10,3.41E-06,1.035737829,8.689457647,-0.446301469
the,drama,have,made,9,0.032968442,0.001381084,0.005576948,0.000631353,1.60E-10,3.44E-06,1.046658094,8.598796546,-0.446301472
may,be,the,father,9,0.001035813,0.005813705,0.032968442,0.000858245,1.70E-10,3.66E-06,1.112402076,8.090599784,-0.446301488
that,statement,it,is,9,0.011456419,0.000164415,0.007714339,0.011732635,1.70E-10,3.66E-06,1.113016937,8.086130323,-0.446301488
the,veracity,of,that,9,0.032968442,2.96E-05,0.01604359,0.011456419,1.79E-10,3.85E-06,1.17079253,7.687100632,-0.446301501
if,you,dont,want,9,0.003620412,0.010821778,0.002686537,0.001706625,1.80E-10,3.86E-06,1.172749846,7.674270889,-0.446301502
doubts,as,to,the,9,4.60E-05,0.004524693,0.02759208,0.032968442,1.89E-10,4.07E-06,1.237054005,7.275349307,-0.446301514
not,the,product,of,9,0.005146181,0.032968442,7.56E-05,0.01604359,2.06E-10,4.42E-06,1.344006797,6.696394706,-0.446301533
of,that,statement,it,9,0.01604359,0.011456419,0.000164415,0.007714339,2.33E-10,5.00E-06,1.521975794,5.913366057,-0.446301558
the,father,but,there,9,0.032968442,0.000858245,0.004971902,0.00173622,2.44E-10,5.24E-06,1.594610759,5.644010582,-0.446301567
is,believed,that,the,9,0.011732635,5.59E-05,0.011456419,0.032968442,2.48E-10,5.32E-06,1.617262001,5.564961024,-0.446301569
a,first,name,of,9,0.021117428,0.001348201,0.000565587,0.01604359,2.58E-10,5.55E-06,1.686608139,5.336153545,-0.446301577
first,name,of,a,9,0.001348201,0.000565587,0.01604359,0.021117428,2.58E-10,5.55E-06,1.686608139,5.336153545,-0.446301577
name,of,a,man,9,0.000565587,0.01604359,0.021117428,0.001706625,3.27E-10,7.02E-06,2.134999083,4.215458485,-0.446301613
to,see,his,son,9,0.02759208,0.00152248,0.006356274,0.001282435,3.42E-10,7.35E-06,2.235588886,4.025784909,-0.446301619
single,people,of,the,9,0.000453785,0.00152248,0.01604359,0.032968442,3.65E-10,7.84E-06,2.385719414,3.772446981,-0.446301627
dont,know,how,to,9,0.002686537,0.002170274,0.002298518,0.02759208,3.70E-10,7.94E-06,2.41411335,3.728076811,-0.446301629
to,the,veracity,of,9,0.02759208,0.032968442,2.96E-05,0.01604359,4.32E-10,9.27E-06,2.819781895,3.191736218,-0.446301646
people,of,the,same,9,0.00152248,0.01604359,0.032968442,0.000644506,5.19E-10,1.11E-05,3.38841308,2.65611063,-0.446301663
who,may,be,the,9,0.002857528,0.001035813,0.005813705,0.032968442,5.67E-10,1.22E-05,3.703744845,2.429973008,-0.44630167
baby,mama,drama,and,9,0.006152399,0.00366316,0.001381084,0.022837206,7.11E-10,1.53E-05,4.640676421,1.93937245,-0.446301686
be,the,father,but,9,0.005813705,0.032968442,0.000858245,0.004971902,8.18E-10,1.76E-05,5.339529967,1.685541622,-0.446301694
the,product,of,a,9,0.032968442,7.56E-05,0.01604359,0.021117428,8.45E-10,1.81E-05,5.515151214,1.631868221,-0.446301696
with,a,man,who,9,0.008704116,0.021117428,0.001706625,0.002857528,8.96E-10,1.92E-05,5.852105483,1.537908027,-0.446301699
you,a,link,to,9,0.010821778,0.021117428,0.00015455,0.02759208,9.75E-10,2.09E-05,6.362247084,1.414594542,-0.446301703
one,of,the,most,9,0.002456356,0.01604359,0.032968442,0.000851668,1.11E-09,2.38E-05,7.224031867,1.24584168,-0.446301708
the,drama,has,on,9,0.032968442,0.001381084,0.003653295,0.007816276,1.30E-09,2.79E-05,8.488305469,1.060282295,-0.446301714
you,dont,want,to,9,0.010821778,0.002686537,0.001706625,0.02759208,1.37E-09,2.94E-05,8.937823755,1.006956531,-0.446301716
5,pound,22,inch,6,0.000562298,2.96E-05,0.000121667,2.63E-05,5.33E-17,1.14E-12,3.48E-07,17255206.09,-0.466563265
will,smith,norman,lear,6,0.002499104,5.59E-05,1.97E-05,1.97E-05,5.44E-17,1.17E-12,3.55E-07,16899951.85,-0.477996131
chelsie,love,chelsielovely,april,8,3.29E-05,0.001703337,2.63E-05,0.000167703,2.47E-16,5.30E-12,1.61E-06,4959059.229,-0.478565655
js,fjs,document,script,7,0.000187433,6.91E-05,0.000200586,3.95E-05,1.02E-16,2.20E-12,6.69E-07,10466272.55,-0.493188752
kimora,lee,simmons,husband,6,1.97E-05,6.25E-05,0.000111802,0.00044392,6.12E-17,1.31E-12,3.99E-07,15022179.42,-0.538426991
network,2016,nyp,holdings,8,0.000164415,0.000943741,5.26E-05,5.26E-05,4.30E-16,9.22E-12,2.80E-06,2852970.965,-0.546344222
digital,network,2016,nyp,8,5.26E-05,0.000164415,0.000943741,5.26E-05,4.30E-16,9.22E-12,2.80E-06,2852970.965,-0.546344222
snl,meltdown,uncensored,now,8,6.91E-05,8.88E-05,4.27E-05,0.002226175,5.83E-16,1.25E-11,3.81E-06,2100265.209,-0.570567954
social,phenomenon,which,ultimately,8,0.000351848,3.95E-05,0.000930587,4.93E-05,6.37E-16,1.37E-11,4.16E-06,1922854.841,-0.576277411
significant,social,phenomenon,which,8,5.26E-05,0.000351848,3.95E-05,0.000930587,6.80E-16,1.46E-11,4.44E-06,1802676.413,-0.580145018
can,blame,barbara,walters,7,0.001933517,9.54E-05,3.29E-05,2.30E-05,1.40E-16,3.00E-12,9.11E-07,7682877.476,-0.582764547
copyright,2016,nyp,holdings,8,0.000299235,0.000943741,5.26E-05,5.26E-05,7.82E-16,1.68E-11,5.10E-06,1567566.464,-0.587711375
www,fatherswithvoices,info,within,8,0.000236757,9.86E-05,0.000194009,0.000190721,8.64E-16,1.86E-11,5.64E-06,1417932.189,-0.592526936
relationships,www,fatherswithvoices,info,8,0.000197298,0.000236757,9.86E-05,0.000194009,8.94E-16,1.92E-11,5.84E-06,1370667.783,-0.594048009
contacting,us,weve,received,8,3.95E-05,0.001397525,0.000213739,8.22E-05,9.69E-16,2.08E-11,6.33E-06,1264636.397,-0.597460333
welcomename,welcome,back,welcome,8,2.96E-05,0.000164415,0.001282435,0.000164415,1.03E-15,2.20E-11,6.70E-06,1194378.819,-0.599721377
authorities,were,apparently,contacted,8,5.59E-05,0.001433696,0.000223604,5.92E-05,1.06E-15,2.28E-11,6.92E-06,1155240.457,-0.600980936
our,international,audience,switch,8,0.001535634,0.000167703,0.000108514,5.59E-05,1.56E-15,3.35E-11,1.02E-05,784403.0981,-0.6129153
on,kanyes,epic,snl,8,0.007816276,5.59E-05,5.26E-05,6.91E-05,1.59E-15,3.41E-11,1.04E-05,771919.1901,-0.61331706
apparently,contacted,by,workers,8,0.000223604,5.92E-05,0.002772032,4.60E-05,1.69E-15,3.63E-11,1.10E-05,725524.6796,-0.614810138
reserved,post,digital,network,8,0.000355136,0.000582028,5.26E-05,0.000164415,1.79E-15,3.84E-11,1.17E-05,685333.8916,-0.616103566
love,chelsielovely,april,21,8,0.001703337,2.63E-05,0.000167703,0.000243334,1.83E-15,3.93E-11,1.19E-05,670143.1391,-0.616592438
sent,account,already,exists,8,0.000226892,0.000420902,0.000526127,3.95E-05,1.98E-15,4.26E-11,1.29E-05,618057.5687,-0.618268666
new,password,forgotpassword,create,8,0.001854598,0.000190721,2.63E-05,0.000220316,2.05E-15,4.40E-11,1.34E-05,597746.8979,-0.618922309
on,friday,november,5,8,0.007816276,7.23E-05,9.54E-05,4.93E-05,2.66E-15,5.71E-11,1.74E-05,460731.7047,-0.62333176
weve,received,your,submission,8,0.000213739,8.22E-05,0.004748297,3.29E-05,2.74E-15,5.89E-11,1.79E-05,446651.3589,-0.623784896
family,law,coping,mechanisms,7,0.00123311,0.000226892,2.63E-05,2.30E-05,1.69E-16,3.64E-12,1.11E-06,6328909.503,-0.626338224
nypost,com,account,welcome,8,4.27E-05,0.001226534,0.000420902,0.000164415,3.63E-15,7.79E-11,2.37E-05,337720.2174,-0.627290541
its,chelsie,love,chelsielovely,8,0.002515545,3.29E-05,0.001703337,2.63E-05,3.71E-15,7.96E-11,2.42E-05,330603.9486,-0.627519558
d,getelementsbytagname,s,0,8,0.000503109,2.96E-05,0.000822074,0.000361712,4.43E-15,9.50E-11,2.89E-05,276772.2754,-0.62925198
post,digital,network,2016,8,0.000582028,5.26E-05,0.000164415,0.000943741,4.75E-15,1.02E-10,3.10E-05,257895.6805,-0.629859471
this,significant,social,phenomenon,8,0.006764022,5.26E-05,0.000351848,3.95E-05,4.94E-15,1.06E-10,3.23E-05,248010.4156,-0.6301776
rights,reserved,post,digital,8,0.000483379,0.000355136,0.000582028,5.26E-05,5.26E-15,1.13E-10,3.43E-05,233106.7658,-0.630657233
drama,relationships,www,fatherswithvoices,8,0.001381084,0.000197298,0.000236757,9.86E-05,6.36E-15,1.37E-10,4.15E-05,192546.1886,-0.631962561
account,already,exists,sign,8,0.000420902,0.000526127,3.95E-05,0.000805632,7.04E-15,1.51E-10,4.60E-05,174065.1928,-0.632557321
conversations,mr,legette,had,8,5.92E-05,0.000305811,0.000180856,0.002505681,8.20E-15,1.76E-10,5.36E-05,149388.1344,-0.633351483
done,almost,done,create,8,0.000371577,0.000302523,0.000371577,0.000220316,9.20E-15,1.98E-10,6.01E-05,133158.7474,-0.63387378
been,changed,weve,sent,8,0.00187104,0.000101937,0.000213739,0.000226892,9.25E-15,1.99E-10,6.04E-05,132480.7599,-0.633895599
password,sent,account,already,8,0.000190721,0.000226892,0.000420902,0.000526127,9.58E-15,2.06E-10,6.26E-05,127873.9797,-0.634043856
privacy,your,ad,choices,8,0.000213739,0.004748297,0.000124955,8.55E-05,1.08E-14,2.33E-10,7.08E-05,113019.0686,-0.63452192
changed,weve,sent,an,8,0.000101937,0.000213739,0.000226892,0.002508969,1.24E-14,2.66E-10,8.10E-05,98796.26788,-0.634979641
