w1,w2,w3,count,p1,p2,p3,joint.prob.nonnorm,joint.prob,expected,disparity,score
it,looks,like,12,0.007714339,0.000259775,0.00312388,6.26E-09,9.13E-07,0.277740815,43.20574924,-0.391547098
doing,well,in,12,0.00042419,0.001321894,0.012064753,6.77E-09,9.87E-07,0.300140413,39.981287,-0.391559916
at,risk,of,12,0.003774962,0.000124955,0.01604359,7.57E-09,1.10E-06,0.335750991,35.74077309,-0.391576773
asked,what,his,12,0.000407749,0.002982483,0.006356274,7.73E-09,1.13E-06,0.342942909,34.99124691,-0.391579752
had,lost,a,12,0.002505681,0.000157838,0.021117428,8.35E-09,1.22E-06,0.370533527,32.3857333,-0.39159011
findings,of,that,12,4.60E-05,0.01604359,0.011456419,8.46E-09,1.23E-06,0.375403227,31.96562829,-0.39159178
saying,she,had,12,0.000470226,0.007934655,0.002505681,9.35E-09,1.36E-06,0.414771905,28.93156418,-0.391603841
will,always,be,12,0.002499104,0.000706983,0.005813705,1.03E-08,1.50E-06,0.455717088,26.33212646,-0.391614174
about,the,kardashians,12,0.003791404,0.032968442,9.21E-05,1.15E-08,1.68E-06,0.510594391,23.50202079,-0.391625425
to,characterize,her,12,0.02759208,5.26E-05,0.008010286,1.16E-08,1.70E-06,0.515907675,23.25997574,-0.391626387
delivered,to,your,12,8.88E-05,0.02759208,0.004748297,1.16E-08,1.70E-06,0.516066513,23.25281662,-0.391626415
on,the,findings,12,0.007816276,0.032968442,4.60E-05,1.19E-08,1.73E-06,0.526315207,22.80002522,-0.391628215
blood,and,was,12,9.21E-05,0.022837206,0.005981408,1.26E-08,1.83E-06,0.557986872,21.5058823,-0.39163336
into,the,matter,12,0.001025948,0.032968442,0.000381442,1.29E-08,1.88E-06,0.572402187,20.96428048,-0.391635513
of,family,court,12,0.01604359,0.00123311,0.0006741,1.33E-08,1.95E-06,0.591666456,20.28169737,-0.391638226
there,are,some,12,0.00173622,0.004843658,0.001611264,1.36E-08,1.98E-06,0.601165086,19.96123905,-0.3916395
the,first,place,12,0.032968442,0.001348201,0.000315676,1.40E-08,2.05E-06,0.622506357,19.27691157,-0.39164222
was,designed,to,12,0.005981408,9.54E-05,0.02759208,1.57E-08,2.30E-06,0.698241117,17.18604035,-0.391650532
matter,and,would,12,0.000381442,0.022837206,0.002259058,1.97E-08,2.87E-06,0.873067813,13.74463682,-0.391664212
of,that,investigation,12,0.01604359,0.011456419,0.000111802,2.05E-08,3.00E-06,0.91169355,13.16231753,-0.391666527
lives,of,so,12,0.000348559,0.01604359,0.003745368,2.09E-08,3.06E-06,0.929226119,12.91397192,-0.391667514
view,this,in,12,0.000259775,0.006764022,0.012064753,2.12E-08,3.09E-06,0.940524462,12.7588388,-0.391668131
school,and,had,12,0.000371577,0.022837206,0.002505681,2.13E-08,3.10E-06,0.943336559,12.72080456,-0.391668282
fox,news,is,12,0.001025948,0.001792121,0.011732635,2.16E-08,3.15E-06,0.957055102,12.53846301,-0.391669007
like,to,view,12,0.00312388,0.02759208,0.000259775,2.24E-08,3.27E-06,0.993402889,12.07969106,-0.391670831
never,been,in,12,0.001012795,0.00187104,0.012064753,2.29E-08,3.34E-06,1.014312309,11.83067572,-0.391671821
the,findings,of,12,0.032968442,4.60E-05,0.01604359,2.43E-08,3.55E-06,1.080307908,11.10794424,-0.391674694
strategy,on,the,12,9.54E-05,0.007816276,0.032968442,2.46E-08,3.58E-06,1.090224358,11.00690873,-0.391675095
how,i,feel,12,0.002298518,0.014264622,0.000772749,2.53E-08,3.70E-06,1.12407577,10.67543694,-0.391676413
she,told,me,12,0.007934655,0.000858245,0.004120233,2.81E-08,4.09E-06,1.244829585,9.639873721,-0.39168053
for,your,comment,12,0.008924432,0.004748297,0.000664236,2.81E-08,4.11E-06,1.248789985,9.609301923,-0.391680651
said,he,would,12,0.001703337,0.007599249,0.002259058,2.92E-08,4.27E-06,1.297320985,9.249831102,-0.39168208
we,all,know,12,0.003485592,0.00395253,0.002170274,2.99E-08,4.36E-06,1.326524481,9.046195655,-0.39168289
to,avoid,baby,12,0.02759208,0.000180856,0.006152399,3.07E-08,4.48E-06,1.362106919,8.809881097,-0.391683829
other,baby,mama,12,0.001364642,0.006152399,0.00366316,3.08E-08,4.49E-06,1.364482833,8.79454084,-0.39168389
of,blood,and,12,0.01604359,9.21E-05,0.022837206,3.37E-08,4.92E-06,1.496656377,8.017872495,-0.391686978
he,did,not,12,0.007599249,0.001101579,0.005146181,4.31E-08,6.28E-06,1.911261429,6.278575929,-0.391693892
to,view,this,12,0.02759208,0.000259775,0.006764022,4.85E-08,7.07E-06,2.150978676,5.578855863,-0.391696673
him,because,he,12,0.003446133,0.001917076,0.007599249,5.02E-08,7.32E-06,2.227361886,5.387539436,-0.391697434
in,the,middle,12,0.012064753,0.032968442,0.000128243,5.10E-08,7.44E-06,2.263085802,5.302494491,-0.391697772
i,was,pregnant,12,0.014264622,0.005981408,0.000611623,5.22E-08,7.61E-06,2.315240932,5.183045891,-0.391698247
she,has,been,12,0.007934655,0.003653295,0.00187104,5.42E-08,7.91E-06,2.406271616,4.986968188,-0.391699026
you,dont,know,12,0.010821778,0.002686537,0.002170274,6.31E-08,9.21E-06,2.799335008,4.286732373,-0.39170181
and,outside,of,12,0.022837206,0.000210451,0.01604359,7.71E-08,1.12E-05,3.420928862,3.507819216,-0.391704906
i,know,its,12,0.014264622,0.002170274,0.002515545,7.79E-08,1.14E-05,3.455062591,3.473164287,-0.391705044
and,friends,he,12,0.022837206,0.000473514,0.007599249,8.22E-08,1.20E-05,3.645823909,3.29143708,-0.391705766
power,of,the,12,0.000157838,0.01604359,0.032968442,8.35E-08,1.22E-05,3.703912826,3.23981707,-0.391705972
in,his,life,12,0.012064753,0.006356274,0.001236399,9.48E-08,1.38E-05,4.206572823,2.852678536,-0.39170751
want,to,know,12,0.001706625,0.02759208,0.002170274,1.02E-07,1.49E-05,4.534046976,2.646642186,-0.39170833
in,school,and,12,0.012064753,0.000371577,0.022837206,1.02E-07,1.49E-05,4.542128393,2.641933244,-0.391708348
to,get,our,12,0.02759208,0.002604329,0.001535634,1.10E-07,1.61E-05,4.8957224,2.451119369,-0.391709107
to,understand,that,12,0.02759208,0.000351848,0.011456419,1.11E-07,1.62E-05,4.934426065,2.431893769,-0.391709183
it,will,be,12,0.007714339,0.002499104,0.005813705,1.12E-07,1.64E-05,4.972615298,2.413217046,-0.391709257
in,her,life,12,0.012064753,0.008010286,0.001236399,1.19E-07,1.74E-05,5.301195756,2.263640234,-0.391709852
my,baby,mama,12,0.005422398,0.006152399,0.00366316,1.22E-07,1.78E-05,5.421764317,2.213301667,-0.391710052
to,listen,to,12,0.02759208,0.000161126,0.02759208,1.23E-07,1.79E-05,5.442325628,2.20493973,-0.391710085
this,in,our,12,0.006764022,0.012064753,0.001535634,1.25E-07,1.83E-05,5.559809163,2.158347463,-0.391710271
when,he,was,12,0.002801627,0.007599249,0.005981408,1.27E-07,1.86E-05,5.649802159,2.123968178,-0.391710407
support,of,her,12,0.001012795,0.01604359,0.008010286,1.30E-07,1.90E-05,5.774572251,2.078075999,-0.39171059
when,she,was,12,0.002801627,0.007934655,0.005981408,1.33E-07,1.94E-05,5.899165993,2.034185852,-0.391710764
and,was,still,12,0.022837206,0.005981408,0.001019371,1.39E-07,2.03E-05,6.1777118,1.942466788,-0.391711129
had,the,love,12,0.002505681,0.032968442,0.001703337,1.41E-07,2.05E-05,6.242713906,1.9222409,-0.391711209
are,going,to,12,0.004843658,0.001068696,0.02759208,1.43E-07,2.08E-05,6.336666196,1.893740277,-0.391711322
really,about,the,12,0.001265993,0.003791404,0.032968442,1.58E-07,2.31E-05,7.02067288,1.709237876,-0.391712056
i,think,it,12,0.014264622,0.001548787,0.007714339,1.70E-07,2.49E-05,7.561352131,1.587017744,-0.391712542
to,address,and,12,0.02759208,0.000279505,0.022837206,1.76E-07,2.57E-05,7.813864896,1.535731697,-0.391712746
of,a,long,12,0.01604359,0.021117428,0.000591893,2.01E-07,2.93E-05,8.896816341,1.348797091,-0.391713489
now,on,is,12,0.002226175,0.007816276,0.011732635,2.04E-07,2.98E-05,9.057403113,1.324883065,-0.391713584
for,a,year,12,0.008924432,0.021117428,0.001223246,2.31E-07,3.36E-05,10.22784377,1.173267824,-0.391714187
a,month,and,12,0.021117428,0.000496532,0.022837206,2.39E-07,3.49E-05,10.623815,1.129537741,-0.39171436
and,im,not,12,0.022837206,0.002097932,0.005146181,2.47E-07,3.60E-05,10.93876448,1.097016032,-0.39171449
i,think,that,12,0.014264622,0.001548787,0.011456419,2.53E-07,3.69E-05,11.2292203,1.068640536,-0.391714602
safely,surrendered,baby,11,4.27E-05,3.62E-05,0.006152399,9.51E-12,1.39E-09,0.000422057,26062.84728,-0.404801563
mr,legette,truly,11,0.000305811,0.000180856,0.00017428,9.64E-12,1.41E-09,0.000427644,25722.32235,-0.406155229
free,urban,word,11,0.000440631,0.000108514,0.000213739,1.02E-11,1.49E-09,0.000453412,24260.49118,-0.41196635
now,alphabetical,list,11,0.002226175,3.62E-05,0.000138108,1.11E-11,1.62E-09,0.000493391,22294.66957,-0.419780951
fatherswithvoices,info,share,11,9.86E-05,0.000194009,0.000654371,1.25E-11,1.83E-09,0.000555632,19797.27161,-0.429708692
daily,urbandictionary,com,11,0.00026964,3.95E-05,0.001226534,1.31E-11,1.90E-09,0.000578982,18998.86925,-0.432882528
email,ten,words,11,0.000453785,0.000144685,0.000217027,1.42E-11,2.08E-09,0.000632174,17400.26994,-0.439237335
isnt,known,whether,11,0.000378154,0.000184145,0.000207163,1.44E-11,2.10E-09,0.000640011,17187.20541,-0.440084316
mate,mr,legette,9,4.93E-05,0.000305811,0.000180856,2.73E-12,3.98E-10,0.000121031,74360.89553,-0.446182778
april,21,2013,10,0.000167703,0.000243334,0.000124955,5.10E-12,7.44E-10,0.000226228,44203.17926,-0.449378127
yahoo,com,www,11,5.92E-05,0.001226534,0.000236757,1.72E-11,2.51E-09,0.000762561,14425.06739,-0.451064461
daily,email,ten,11,0.00026964,0.000453785,0.000144685,1.77E-11,2.58E-09,0.000785428,14005.09532,-0.452733948
that,californias,safely,11,0.011456419,3.62E-05,4.27E-05,1.77E-11,2.58E-09,0.000785914,13996.43722,-0.452768366
today,mr,legette,11,0.000325541,0.000305811,0.000180856,1.80E-11,2.63E-09,0.000798807,13770.53621,-0.453666376
trending,now,alphabetical,11,0.000226892,0.002226175,3.62E-05,1.83E-11,2.67E-09,0.000810572,13570.66843,-0.454460897
from,occurring,grinsells,11,0.003271853,3.62E-05,0.000157838,1.87E-11,2.73E-09,0.000828739,13273.17074,-0.45564352
is,negatively,impacting,11,0.011732635,4.60E-05,3.62E-05,1.95E-11,2.85E-09,0.000866775,12690.71578,-0.457958914
curtains,cannot,at,11,4.27E-05,0.000124955,0.003774962,2.02E-11,2.94E-09,0.000894602,12295.97148,-0.459528115
phenomenon,which,ultimately,8,3.95E-05,0.000930587,4.93E-05,1.81E-12,2.64E-10,8.04E-05,99556.59747,-0.462712596
impersonation,or,misrepresentation,9,2.96E-05,0.003367214,2.96E-05,2.95E-12,4.30E-10,0.000130842,68785.4421,-0.46834651
invasion,impersonation,or,9,2.96E-05,2.96E-05,0.003367214,2.95E-12,4.30E-10,0.000130842,68785.4421,-0.46834651
com,www,fatherswithvoices,11,0.001226534,0.000236757,9.86E-05,2.86E-11,4.18E-09,0.001270936,8655.040436,-0.474001668
no,charges,brought,11,0.002219599,9.21E-05,0.000164415,3.36E-11,4.90E-09,0.001490709,7379.040189,-0.479074068
from,daily,urbandictionary,11,0.003271853,0.00026964,3.95E-05,3.48E-11,5.08E-09,0.001544469,7122.189176,-0.480095111
email,address,below,11,0.000453785,0.000279505,0.000282793,3.59E-11,5.23E-09,0.00159132,6912.501218,-0.480928669
went,into,effect,11,0.000509686,0.001025948,6.91E-05,3.61E-11,5.27E-09,0.001602015,6866.352533,-0.481112121
books,are,designed,11,8.55E-05,0.004843658,9.54E-05,3.95E-11,5.76E-09,0.001752004,6278.524474,-0.483448875
aware,that,californias,11,9.86E-05,0.011456419,3.62E-05,4.09E-11,5.96E-09,0.001813648,6065.122794,-0.484297197
surrendered,baby,law,11,3.62E-05,0.006152399,0.000226892,5.05E-11,7.37E-09,0.002240147,4910.391517,-0.488887524
free,daily,email,11,0.000440631,0.00026964,0.000453785,5.39E-11,7.87E-09,0.002391987,4598.688014,-0.490126618
negatively,impacting,the,11,4.60E-05,3.62E-05,0.032968442,5.49E-11,8.01E-09,0.002435619,4516.304996,-0.49045411
avoid,this,horrific,11,0.000180856,0.006764022,4.60E-05,5.63E-11,8.22E-09,0.002498538,4402.574029,-0.490906217
morning,emails,are,11,0.000161126,7.23E-05,0.004843658,5.65E-11,8.24E-09,0.002504855,4391.472591,-0.490950348
urbandictionary,com,well,11,3.95E-05,0.001226534,0.001321894,6.40E-11,9.33E-09,0.002838423,3875.39124,-0.493001892
our,free,urban,11,0.001535634,0.000440631,0.000108514,7.34E-11,1.07E-08,0.003257591,3376.727894,-0.494984195
prevent,this,type,11,4.27E-05,0.006764022,0.000259775,7.51E-11,1.10E-08,0.003332466,3300.858814,-0.495285793
baby,law,allows,11,0.006152399,0.000226892,5.59E-05,7.80E-11,1.14E-08,0.003462046,3177.312158,-0.49577692
emails,are,sent,11,7.23E-05,0.004843658,0.000226892,7.95E-11,1.16E-08,0.003527244,3118.581985,-0.496010386
countless,numbers,of,11,5.59E-05,9.21E-05,0.01604359,8.26E-11,1.20E-08,0.003663522,3002.575339,-0.496471539
new,post,delivered,11,0.001854598,0.000582028,8.88E-05,9.58E-11,1.40E-08,0.004251842,2587.113902,-0.498123096
well,never,spam,11,0.001321894,0.001012795,7.23E-05,9.69E-11,1.41E-08,0.004296951,2559.954426,-0.498231061
law,which,went,11,0.000226892,0.000930587,0.000509686,1.08E-10,1.57E-08,0.004774504,2303.90443,-0.49924892
this,horrific,social,11,0.006764022,4.60E-05,0.000351848,1.10E-10,1.60E-08,0.004860793,2263.005342,-0.499411503
words,trending,now,11,0.000217027,0.000226892,0.002226175,1.10E-10,1.60E-08,0.00486343,2261.778072,-0.499416382
designed,to,prevent,11,9.54E-05,0.02759208,4.27E-05,1.12E-10,1.64E-08,0.004990178,2204.330008,-0.499644751
law,allows,for,11,0.000226892,5.59E-05,0.008924432,1.13E-10,1.65E-08,0.005021909,2190.402007,-0.499700118
day,every,morning,11,0.001052254,0.000703695,0.000161126,1.19E-10,1.74E-08,0.005293231,2078.125888,-0.500146442
grinsell,was,aware,11,0.000207163,0.005981408,9.86E-05,1.22E-10,1.78E-08,0.005423199,2028.323306,-0.500344419
separated,and,divorced,11,5.92E-05,0.022837206,9.54E-05,1.29E-10,1.88E-08,0.005718785,1923.485564,-0.500761174
be,closed,contact,11,0.005813705,7.89E-05,0.000302523,1.39E-10,2.02E-08,0.006158038,1786.283368,-0.501306585
people,today,mr,11,0.00152248,0.000325541,0.000305811,1.52E-10,2.21E-08,0.006724502,1635.808837,-0.501904756
tmz,sports,see,11,0.000805632,0.000124955,0.00152248,1.53E-10,2.24E-08,0.00679973,1617.711274,-0.501976698
list,type,your,11,0.000138108,0.000259775,0.004748297,1.70E-10,2.49E-08,0.00755796,1455.419231,-0.502621847
and,provide,effective,11,0.022837206,0.00011509,6.58E-05,1.73E-10,2.52E-08,0.007668869,1434.370663,-0.50270552
the,curtains,cannot,11,0.032968442,4.27E-05,0.000124955,1.76E-10,2.57E-08,0.007812961,1407.916942,-0.50281068
type,of,tragedy,11,0.000259775,0.01604359,4.27E-05,1.78E-10,2.60E-08,0.007904279,1391.651277,-0.502875339
no,questions,asked,11,0.002219599,0.000203874,0.000407749,1.85E-10,2.69E-08,0.008186121,1343.737808,-0.503065807
sent,from,daily,11,0.000226892,0.003271853,0.00026964,2.00E-10,2.92E-08,0.008880696,1238.641596,-0.503483589
confront,and,avoid,11,4.93E-05,0.022837206,0.000180856,2.04E-10,2.97E-08,0.009038309,1217.041775,-0.503569453
point,be,closed,11,0.000473514,0.005813705,7.89E-05,2.17E-10,3.17E-08,0.009638667,1141.236596,-0.503870796
one,night,stand,11,0.002456356,0.000473514,0.000187433,2.18E-10,3.18E-08,0.009672059,1137.296584,-0.503886459
both,books,are,11,0.000605046,8.55E-05,0.004843658,2.51E-10,3.66E-08,0.011116163,989.5500529,-0.504473786
sports,see,also,11,0.000124955,0.00152248,0.001331759,2.53E-10,3.70E-08,0.01124037,978.6154621,-0.504517253
whether,grinsell,was,11,0.000207163,0.000207163,0.005981408,2.57E-10,3.74E-08,0.011388717,965.8682412,-0.504567927
ways,to,confront,11,0.000200586,0.02759208,4.93E-05,2.73E-10,3.98E-08,0.012111441,908.2321455,-0.504797044
dropped,off,at,11,9.21E-05,0.000858245,0.003774962,2.98E-10,4.35E-08,0.013234314,831.1726754,-0.505103373
many,people,today,11,0.000664236,0.00152248,0.000325541,3.29E-10,4.80E-08,0.014605908,753.1199101,-0.505413651
believes,the,power,11,6.58E-05,0.032968442,0.000157838,3.42E-10,4.99E-08,0.015183082,724.4905931,-0.505527459
effective,ways,to,11,6.58E-05,0.000200586,0.02759208,3.64E-10,5.31E-08,0.016148588,681.1741091,-0.505699652
urban,word,of,11,0.000108514,0.000213739,0.01604359,3.72E-10,5.43E-08,0.016508937,666.305763,-0.505758758
an,unwanted,child,11,0.002508969,4.93E-05,0.003038384,3.76E-10,5.49E-08,0.016682025,659.3923677,-0.50578624
truly,believes,the,11,0.00017428,6.58E-05,0.032968442,3.78E-10,5.51E-08,0.016764653,656.1424239,-0.505799159
impacting,the,lives,11,3.62E-05,0.032968442,0.000348559,4.16E-10,6.06E-08,0.018441118,596.4931126,-0.506036279
be,dropped,off,11,0.005813705,9.21E-05,0.000858245,4.59E-10,6.70E-08,0.020381765,539.6980946,-0.506262053
into,effect,this,11,0.001025948,6.91E-05,0.006764022,4.79E-10,6.99E-08,0.02126029,517.3965205,-0.506350707
which,went,into,11,0.000930587,0.000509686,0.001025948,4.87E-10,7.10E-08,0.02158906,509.5173258,-0.506382028
charges,brought,the,11,9.21E-05,0.000164415,0.032968442,4.99E-10,7.28E-08,0.022141994,496.7935495,-0.506432608
it,isnt,known,11,0.007714339,0.000378154,0.000184145,5.37E-10,7.84E-08,0.023832789,461.5489944,-0.506572714
and,divorced,fathers,11,0.022837206,9.54E-05,0.000253199,5.51E-10,8.04E-08,0.024463691,449.6459759,-0.506620031
type,your,email,11,0.000259775,0.004748297,0.000453785,5.60E-10,8.17E-08,0.024833296,442.9536792,-0.506646634
effect,this,year,11,6.91E-05,0.006764022,0.001223246,5.71E-10,8.34E-08,0.025348807,433.9454688,-0.506682444
year,was,designed,11,0.001223246,0.005981408,9.54E-05,6.98E-10,1.02E-07,0.030955273,355.3514135,-0.506994874
address,and,provide,11,0.000279505,0.022837206,0.00011509,7.35E-10,1.07E-07,0.032592691,337.4989795,-0.507065841
designed,to,address,11,9.54E-05,0.02759208,0.000279505,7.35E-10,1.07E-07,0.03262809,337.1328248,-0.507067297
every,new,post,11,0.000703695,0.001854598,0.000582028,7.60E-10,1.11E-07,0.033699786,326.4115671,-0.507109917
cannot,at,some,11,0.000124955,0.003774962,0.001611264,7.60E-10,1.11E-07,0.033719612,326.2196515,-0.507110679
never,spam,you,11,0.001012795,7.23E-05,0.010821778,7.93E-10,1.16E-07,0.035177282,312.7018168,-0.507164416
info,share,this,11,0.000194009,0.000654371,0.006764022,8.59E-10,1.25E-07,0.038097842,288.7302617,-0.507259709
a,few,minutes,11,0.021117428,0.000414325,9.86E-05,8.63E-10,1.26E-07,0.038293327,287.2563138,-0.507265568
for,an,unwanted,11,0.008924432,0.002508969,4.93E-05,1.10E-09,1.61E-07,0.048998935,224.4946749,-0.50751506
brought,the,law,11,0.000164415,0.032968442,0.000226892,1.23E-09,1.79E-07,0.054564201,201.5973824,-0.507606082
allows,for,an,11,5.59E-05,0.008924432,0.002508969,1.25E-09,1.83E-07,0.055532126,198.0835367,-0.50762005
pay,child,support,11,0.000430767,0.003038384,0.001012795,1.33E-09,1.93E-07,0.058810515,187.0413812,-0.507663946
post,delivered,to,11,0.000582028,8.88E-05,0.02759208,1.43E-09,2.08E-07,0.06325746,173.8925326,-0.507716215
social,problem,that,11,0.000351848,0.000388019,0.011456419,1.56E-09,2.28E-07,0.069391285,158.5213466,-0.507777319
com,well,never,11,0.001226534,0.001321894,0.001012795,1.64E-09,2.40E-07,0.072852859,150.9892691,-0.507807261
get,our,free,11,0.002604329,0.001535634,0.000440631,1.76E-09,2.57E-07,0.078182195,140.6969956,-0.507848175
not,so,powerful,11,0.005146181,0.003745368,9.54E-05,1.84E-09,2.68E-07,0.081544949,134.8949279,-0.50787124
questions,asked,and,11,0.000203874,0.000407749,0.022837206,1.90E-09,2.77E-07,0.084226087,130.6008668,-0.50788831
address,below,to,11,0.000279505,0.000282793,0.02759208,2.18E-09,3.18E-07,0.096759162,113.6843246,-0.507955557
of,tragedy,from,11,0.01604359,4.27E-05,0.003271853,2.24E-09,3.27E-07,0.099553894,110.4929155,-0.507968244
hospital,with,no,11,0.000124955,0.008704116,0.002219599,2.41E-09,3.52E-07,0.107103167,102.704713,-0.507999204
babys,mama,drama,11,0.000483379,0.00366316,0.001381084,2.45E-09,3.57E-07,0.108495773,101.3864387,-0.508004444
his,childs,mother,11,0.006356274,0.000292658,0.001354777,2.52E-09,3.68E-07,0.111809853,98.38131144,-0.50801639
the,black,panthers,11,0.032968442,0.001555363,4.93E-05,2.53E-09,3.69E-07,0.112212465,98.02832549,-0.508017793
get,every,new,11,0.002604329,0.000703695,0.001854598,3.40E-09,4.96E-07,0.150792263,72.94803961,-0.508117493
for,6,years,11,0.008924432,0.00038473,0.001025948,3.52E-09,5.14E-07,0.156282842,70.38520585,-0.508127681
are,sent,from,11,0.004843658,0.000226892,0.003271853,3.60E-09,5.25E-07,0.159527632,68.95357153,-0.508133372
with,no,questions,11,0.008704116,0.002219599,0.000203874,3.94E-09,5.75E-07,0.174747272,62.94804992,-0.508157246
so,powerful,that,11,0.003745368,9.54E-05,0.011456419,4.09E-09,5.97E-07,0.181535209,60.59430601,-0.508166602
unwanted,child,to,11,4.93E-05,0.003038384,0.02759208,4.14E-09,6.03E-07,0.183458548,59.95904857,-0.508169128
a,little,bit,11,0.021117428,0.000914146,0.000217027,4.19E-09,6.11E-07,0.185874594,59.17968532,-0.508172226
some,point,be,11,0.001611264,0.000473514,0.005813705,4.44E-09,6.47E-07,0.19678946,55.89730266,-0.508185274
and,no,charges,11,0.022837206,0.002219599,9.21E-05,4.67E-09,6.81E-07,0.20705945,53.12483937,-0.508196295
read,it,read,11,0.000779326,0.007714339,0.000779326,4.69E-09,6.84E-07,0.207867073,52.91843408,-0.508197116
that,is,negatively,11,0.011456419,0.011732635,4.60E-05,6.19E-09,9.03E-07,0.274531402,40.06827598,-0.508248198
was,aware,that,11,0.005981408,9.86E-05,0.011456419,6.76E-09,9.86E-07,0.299911488,36.67748803,-0.508261677
that,michelle,obama,11,0.011456419,0.000588605,0.001029236,6.94E-09,1.01E-06,0.30791902,35.72367826,-0.508265469
the,law,which,11,0.032968442,0.000226892,0.000930587,6.96E-09,1.02E-06,0.308833375,35.61791209,-0.508265889
to,prevent,this,11,0.02759208,4.27E-05,0.006764022,7.98E-09,1.16E-06,0.353958516,31.07708811,-0.50828394
post,a,comment,11,0.000582028,0.021117428,0.000664236,8.16E-09,1.19E-06,0.362206248,30.36943744,-0.508286753
at,a,hospital,11,0.003774962,0.021117428,0.000124955,9.96E-09,1.45E-06,0.441933361,24.89063053,-0.508308533
the,new,york,11,0.032968442,0.001854598,0.000187433,1.15E-08,1.67E-06,0.508443455,21.6346575,-0.508321476
appears,to,have,11,8.22E-05,0.02759208,0.005576948,1.27E-08,1.85E-06,0.561229613,19.59982106,-0.508329565
are,designed,to,11,0.004843658,9.54E-05,0.02759208,1.27E-08,1.86E-06,0.565425599,19.4543721,-0.508330143
dont,have,any,11,0.002686537,0.005576948,0.0009832,1.47E-08,2.15E-06,0.653551918,16.83110353,-0.508340571
to,be,dropped,11,0.02759208,0.005813705,9.21E-05,1.48E-08,2.15E-06,0.655262047,16.78717706,-0.508340746
also,you,may,11,0.001331759,0.010821778,0.001035813,1.49E-08,2.18E-06,0.66229955,16.60879883,-0.508341455
that,the,curtains,11,0.011456419,0.032968442,4.27E-05,1.61E-08,2.36E-06,0.716325151,15.35615494,-0.508346435
women,who,have,11,0.001062119,0.002857528,0.005576948,1.69E-08,2.47E-06,0.75094676,14.6481756,-0.508349249
if,you,believe,11,0.003620412,0.010821778,0.00046365,1.82E-08,2.65E-06,0.805926275,13.64889115,-0.508353221
just,dont,know,11,0.003166628,0.002686537,0.002170274,1.85E-08,2.69E-06,0.819130845,13.428868,-0.508354096
a,bunch,of,11,0.021117428,5.59E-05,0.01604359,1.89E-08,2.76E-06,0.840254877,13.09126588,-0.508355438
below,to,get,11,0.000282793,0.02759208,0.002604329,2.03E-08,2.96E-06,0.901567722,12.20096919,-0.508358977
asked,and,no,11,0.000407749,0.022837206,0.002219599,2.07E-08,3.02E-06,0.916977562,11.99593147,-0.508359792
see,also,you,11,0.00152248,0.001331759,0.010821778,2.19E-08,3.20E-06,0.973475212,11.29972275,-0.50836256
a,hospital,with,11,0.021117428,0.000124955,0.008704116,2.30E-08,3.35E-06,1.018987462,10.79502979,-0.508364566
the,day,every,11,0.032968442,0.001052254,0.000703695,2.44E-08,3.56E-06,1.083059841,10.15641018,-0.508367105
you,feel,like,11,0.010821778,0.000772749,0.00312388,2.61E-08,3.81E-06,1.158991767,9.491007888,-0.50836975
told,me,he,11,0.000858245,0.004120233,0.007599249,2.69E-08,3.92E-06,1.192209354,9.226567438,-0.508370801
he,does,not,11,0.007599249,0.00071356,0.005146181,2.79E-08,4.07E-06,1.238040985,8.885004723,-0.508372159
and,avoid,this,11,0.022837206,0.000180856,0.006764022,2.79E-08,4.08E-06,1.239453483,8.874879252,-0.508372199
this,kind,of,11,0.006764022,0.000266352,0.01604359,2.89E-08,4.22E-06,1.282363445,8.577911387,-0.50837338
to,confront,and,11,0.02759208,4.93E-05,0.022837206,3.11E-08,4.53E-06,1.378917335,7.977272984,-0.508375767
is,a,huge,11,0.011732635,0.021117428,0.000128243,3.18E-08,4.64E-06,1.409680704,7.803185482,-0.508376459
so,much,for,11,0.003745368,0.000956894,0.008924432,3.20E-08,4.67E-06,1.419016866,7.751845848,-0.508376663
powerful,that,the,11,9.54E-05,0.011456419,0.032968442,3.60E-08,5.25E-06,1.597956106,6.883793592,-0.508380114
in,a,statement,11,0.012064753,0.021117428,0.000164415,4.19E-08,6.11E-06,1.858442028,5.918936311,-0.50838395
up,for,our,11,0.003225817,0.008924432,0.001535634,4.42E-08,6.45E-06,1.961357372,5.608360901,-0.508385184
at,the,end,11,0.003774962,0.032968442,0.00038473,4.79E-08,6.99E-06,2.124302944,5.178169163,-0.508386894
i,guess,i,11,0.014264622,0.000240046,0.014264622,4.88E-08,7.13E-06,2.167020184,5.076094852,-0.5083873
this,year,was,11,0.006764022,0.001223246,0.005981408,4.95E-08,7.22E-06,2.195689533,5.009815747,-0.508387564
fox,news,to,11,0.001025948,0.001792121,0.02759208,5.07E-08,7.40E-06,2.250742535,4.887276012,-0.508388051
problem,that,is,11,0.000388019,0.011456419,0.011732635,5.22E-08,7.61E-06,2.313907535,4.753863252,-0.508388581
he,says,he,11,0.007599249,0.000930587,0.007599249,5.37E-08,7.84E-06,2.384225494,4.613657571,-0.508389138
have,to,deal,11,0.005576948,0.02759208,0.000355136,5.46E-08,7.97E-06,2.42451193,4.536995617,-0.508389443
to,meet,her,11,0.02759208,0.000256487,0.008010286,5.67E-08,8.27E-06,2.515049915,4.373670651,-0.508390092
